source,target,category,notes,example_source,example_wrong,example_correct
ヒリヒリ,따끔따끔,의성어,"피부가 쓸리거나 상처가 나서 화끈거리며 아픈 감각을 나타낸다. 문맥에 따라 '따끔거리는', '화끈거리는', '따끔따끔하게' 등으로 의역하여 통증의 양상을 생생하게 묘사해야 한다. 단순히 '히리히리'라고 음차하거나 '따끔따끔하다'라고만 고정하지 말고 문장의 흐름에 맞춰 자연스럽게 풀어낸다.",股はヒリヒリと破れたように痛むし、全身への振動の衝撃の余波がまだ残っている。,"사타구니는 히리히리하게 찢어진 것처럼 아프고, 전신으로 전달되는 진동의 충격 여파가 아직 남아 있다.","사타구니는 마치 살이 쓸린 듯 따끔따끔하게 아파왔고, 전신을 울리는 진동의 여파가 여전히 남아 있었다."
パックリ,"쩍, 벌컥, 훤히",의성어,"입을 크게 벌리거나 틈이 생기는 모양을 나타낸다. 소설 문맥상 은밀한 부위가 가감 없이 드러나는 상황이므로, 단순히 '벌어지다'라는 표현보다는 시각적인 노출의 충격이나 부위의 형태를 강조할 수 있는 '쩍 벌어져' 또는 '훤히 드러나'와 같은 표현으로 의역하는 것이 자연스럽다. 기계적으로 '팩쿠리'라고 음차하거나 단순히 '갈라지다'라고만 번역하는 것은 피해야 한다.",口ではそう言いながらも、由美子は悦びの期待に胸をときめかせながら、昇の言う通りに従った。脚をあげれば、スカートはいやでもまくれあがり、下半身が腰のあたりまですっかりあらわになる。両手で膝をかかえるようにして開けば、股間はパックリと割れ、下腹からアヌスまで、昇の目の前にさらしつくされる。それも、まるで産婦人科の検査のような恥ずかしい格好で……,다리를 벌리자 가랑이가 팩쿠리 갈라졌다.,"양손으로 무릎을 감싸듯 벌리자, 가랑이가 쩍 벌어지며 하복부부터 항문까지 노보의 눈앞에 훤히 드러났다."
ピチピチ,"탱탱한, 탄력 있는, 싱그러운",의성어,"젊고 건강한 신체의 탄력이나 생동감을 나타내는 표현이다. 문맥상 남성 주인공이 여성의 젊고 탄력 넘치는 몸을 관찰하며 느끼는 시각적, 촉각적 생동감을 강조해야 하므로, 단순히 '싱싱한'과 같은 표현보다는 '탱탱한'이나 '탄력 있는'처럼 신체의 질감이 느껴지는 형용사로 의역하는 것이 소설적 문체에 적합하다.",由美子のあまりに真剣な眼差しに、昇はそれ以上ちゃかせなかった。それに、これほど若々しくピチピチした女体を、自分から調べてくれと言われて、断わるほど野暮でもない。妻の妹であれ、いや、妻の妹であればこそなおさら、その女体を観賞してみたいという気もあった。,"이렇게 젊고 피치피치한 여체를, 자신에게 조사해달라고 말하는데 거절할 만큼 무뚝뚝하지도 않다.","이렇게 젊고 탱탱한 여체를, 직접 확인해달라고 말하는데 거절할 만큼 무뚝뚝하지도 않다."
キョロキョロ,"두리번두리번, 두리번거리는, 두리번대며",의성어,"주변을 경계하거나 호기심을 가지고 이리저리 살피는 모양을 나타낸다. 소설의 문맥에 따라 '두리번두리번'이라는 부사로 쓰거나, '두리번거리다', '두리번대다'와 같은 동사 형태로 자연스럽게 풀어내어 인물의 당혹감이나 호기심을 묘사해야 한다.",ルイ王朝風の家具で統一された社長室に通された由美子は、その豪華さに口もきけず、キョロキョロあたりを見まわしていた。,"유미코는 그 호화로움에 입도 떼지 못한 채, 키로키로 주변을 둘러보고 있었다.","루이 왕조풍의 가구로 통일된 사장실로 안내된 유미코는, 그 호화로움에 말도 잇지 못한 채 두리번거리며 주변을 살폈다."
モテモテ,"인기 만점인, 여자들에게 둘러싸인, 인기가 아주 많은",의성어,"문맥상 남성미 넘치는 외모로 이성에게 인기가 매우 많았던 상태를 나타낸다. 소설의 문체와 흐름에 따라 '인기 만점인 학생' 혹은 '여자들에게 인기가 아주 많았던 학생' 등으로 자연스럽게 의역해야 한다. 단순히 '모테모테한'과 같이 외래어 느낌을 주거나 '인기가 많은'이라고만 반복하기보다, 인물의 매력을 드러낼 수 있는 수식어를 선택하는 것이 좋다.",由美子の結婚は文字通り、若気のいたりというしかないものだった。大学を卒業と同時に、同じクラスだったラグビー部の男と一緒になったのである。体格のがっしりしたいかにも男臭い感じで、それでいて甘いマスクをした、モテモテの男子学生だった。,그는 모테모테한 남학생이었다.,그는 여자들에게 인기가 아주 많은 남학생이었다.
ムンムン,"물씬물씬, 진동하는, 가득한",의성어,냄새나 기운이 강하게 풍기는 모양을 나타낸다. 소설적 문맥에서는 단순히 '냄새가 난다'는 표현보다 '향기가 물씬 풍겼다'거나 '성숙한 여인의 향취가 진동했다'와 같이 문장의 분위기에 맞춰 형용사나 부사 형태로 자연스럽게 의역하는 것이 좋다. '문문'과 같은 기계적 직역은 피해야 한다.,実の姉妹とはいえ、由美子は芙美子よりも背が高く、肉づきもずっとよく、プロポーションは日本人ばなれした、文字通りのグラマー美人だった。それに二十八歳という女ざかり、由美子の肉体には、いやでも成熟した女の匂いがムンムンしていた。,유미자의 육체에는 성숙한 여자의 냄새가 문문하고 있었다.,유미자의 육체에서는 원치 않아도 성숙한 여인의 향취가 물씬 풍겨 나오고 있었다.
メチャメチャ,"정신없이, 엉망진창으로, 아주 제대로",의성어,"문맥상 성적인 행위나 강도가 매우 높은 상태를 나타낸다. 단순히 '엉망진창'이라고 직역하기보다는, 소설의 흐름과 캐릭터의 도발적인 분위기에 맞춰 '정신없이 핥아달라'거나 '아주 제대로 핥아달라'는 식의 관능적이고 몰입감 있는 표현으로 의역하는 것이 자연스럽다.",「バカみたい、本気で怒ったりして」由美子は昇の顔にお尻を突きあげ、さらに挑発するようにゆすりながら笑った。「ちょっとからかうとすぐムキになるんだから。でも、そんな義兄さん、じゃなかった、昇さんって、かわいいわ！……ね、とろけちゃうまで、舐めて……メチャメチャに舐めて！」,"……네, 녹아버릴 때까지 핥아줘…… 메차메차 핥아줘!","……있지, 녹아버릴 때까지 핥아줘…… 정신없이, 아주 제대로 핥아달란 말이야!"
ズンズン,"묵직하게, 퍽퍽, 쿵쿵",의성어,"상황에 따라 '묵직하게', '퍽퍽' 등 무언가 깊숙이 박히거나 밀고 들어오는 압박감을 나타내는 부사로 의역해야 한다. 단순히 속도가 빠르다는 의미를 넘어, 신체 내부를 강하게 파고드는 물리적인 타격감과 무게감을 소설적 문체로 살리는 것이 중요하다.",喉は男の手に締められ、私の女の部分が男にズンズンと下から身勝手に侵入され、身体の自由を奪われた。息も上手く吸えない。中に得たいの知れない硬い肉厚が私の身体を下から支配していく。,나의 여자 부분이 남자에게 즈ン즈ン 밑에서 제멋대로 침입당했다.,"남자의 것이 내 은밀한 곳을 밑에서부터 퍽퍽, 제멋대로 파고들었다."
ハァハァ,"하아, 하아",의성어,"거친 호흡이나 숨을 몰아쉬는 소리를 나타낸다. 소설 문맥에서는 단순히 소리를 나열하기보다, 인물의 긴박한 상태나 체력적 한계를 드러내기 위해 '하아, 하아...'와 같이 말줄임표를 활용하거나 문장 속에 자연스럽게 녹여내어 호흡의 느낌을 살려 의역하는 것이 좋다.",「ハァハァハァハァ、お前の父親のことだ、母親似の娘にGPSを仕込んでるだろ。手っ取り早く終わらせるぞ」,"「하아하아하아하아, 네 아버지 말이다...」","「하아, 하아... 네 아버지 말이다, 어머니를 닮은 딸에게 GPS를 심어뒀겠지. 빨리 끝내버리겠어.」"
トントン,"똑똑, 탁탁",의성어,"문맥상 무언가를 가볍게 두드리는 소리나 요리 도구가 조리대에 닿는 소리를 의미한다. 소설의 흐름에 따라 '똑똑' 혹은 '탁탁' 등으로 상황에 맞게 의역해야 하며, 소리의 주체나 상황에 따라 '똑똑 소리가 나서', '탁탁 소리가 들려'와 같이 자연스럽게 문장에 녹여내야 한다.",母さんは寝室にはいなかった。トントンと音がするので、その方向に歩くと、台所で朝食を作っていた。もちろん裸ではなく、既に着替えを済ませている。,"톤톤하고 소리가 나서, 그 방향으로 걸어가니...","똑똑 소리가 들려 그 방향으로 걸어가 보니, 부엌에서 아침 식사를 만들고 있었다."
モゾモゾ,"꿈틀꿈틀, 꾸물꾸물, 움찔움찔",의성어,"작은 물체가 움직이거나 몸의 일부가 미세하게 움직이는 모양을 나타낸다. 소설적 문맥에서는 이불 속에서 무언가 움직이는 불길하거나 묘한 상황을 묘사하므로, 상황의 긴장감이나 생동감에 따라 '꿈틀꿈틀' 혹은 '꾸물꾸물' 등으로 의역하여 자연스러운 흐름을 만들어야 한다. 단순히 '모조모조'라고 음차하는 것은 피해야 한다.",俺はどうも下半身、それも股間辺りがおかしいと感じ、目を覚ました。すると、掛布団が何やらモゾモゾ動いているのが見える。,"그러자, 덮개가 무언가 모조모조 움직이는 것이 보인다.","그러자, 덮은 이불이 무언가 꿈틀꿈틀 움직이는 것이 보였다."
ゲホッゲホッ,콜록콜록,의성어,"기침을 하는 소리를 나타내는 의성어다. 문맥상 당황하거나 목이 메어 나오는 기침이므로, 소설의 흐름에 따라 '콜록콜록' 혹은 '컥컥' 등으로 자연스럽게 처리해야 한다. 단순히 소리만 나열하기보다 인물의 상태를 보여주는 동사적 표현과 결합하여 의역하는 것이 좋다.",「ゲホッゲホッ……そ、そんな訳ないわよ。あんたを産んでからは一回もしてないわ。変なこと言わないの」,"「게호게호…… 그, 그럴 리가 없잖아. 너를 낳고 나서는 한 번도 안 했어. 이상한 소리 하지 마.」","「콜록, 콜록…… 그, 그럴 리가 없잖아. 너를 낳고 나서는 한 번도 안 했다고. 이상한 소리 하지 마.」"
ズッポリ,"쑥, 푹, 푹 하고",의성어,무언가 좁은 틈이나 구멍 속으로 한꺼번에 깊숙이 박히거나 들어가는 모양을 나타낸다. 소설적 문맥에서는 삽입의 깊이와 무게감을 전달하기 위해 '쑥 하고 들어갔다' 혹은 '푹 박혔다'와 같이 동사와 결합하여 자연스럽게 의역해야 한다. 단순히 소리만 묘사하기보다 동작의 느낌을 살리는 것이 중요하다.,ゆっくりと腰を下ろし、チンチンをマンコに挿入した。チンチンがズッポリと根元まで入っていく。この瞬間、俺は童貞を喪失した。,자지가 즈폿리 뿌리까지 들어간다.,"자지가 쑥, 뿌리 끝까지 박혀 들어왔다."
レロレロ,"낼름낼름, 할짝할짝",의성어,"혀로 무언가를 핥는 소리나 모양을 나타낸다. 문맥에 따라 혀의 움직임이 강조되는 '낼름낼름'이나, 조금 더 가볍고 부드러운 느낌의 '할짝할짝' 등으로 의역한다. 소설의 분위기가 관능적이라면 '질척하게 핥는' 등의 묘사를 섞어 상황에 맞게 변주해야 한다.",“クチュッ……レロレロ……”,“쿠츄…… 레로레로……”,“츄릅…… 낼름낼름……”
アンアン,"앙앙, 아앙아앙",의성어,"여성이 쾌락이나 자극을 느낄 때 내뱉는 신음 소리를 나타낸다. 문맥에 따라 '앙앙' 혹은 '아앙아앙' 등으로 번역하며, 소설의 호흡에 맞춰 자연스럽게 배치해야 한다. 단순히 소리 자체를 전달하기보다 인물의 흥분 상태가 느껴지도록 의성어의 느낌을 살려 의역하는 것이 중요하다.",俺は母さんの胸を夢中になって弄った。母さんはアンアン言いながら体を揺らす。母さんの女としての一面が見え、興奮する。すると、母さんは俺の手を取ると、股間に触れさせた。一瞬、ジャリッとした毛の感覚がしたかと思うと、ヌルッとしたものが手に付いた。,어머니는 アンアン이라고 말하며 몸을 흔들었다.,어머니는 앙앙 소리를 내며 몸을 떨었다.
クチュクチュ,"질척질척, 챠박챠박, 질척이는",의성어,"액체가 섞인 마찰음이나 젖은 소리를 나타내는 의성어다. 소설의 문맥상 성적인 분위기를 살리기 위해 단순히 소리 자체를 묘사하기보다는 '질척이는 소리', '질척질척 소리를 내며'와 같이 상황에 맞춰 자연스러운 형용사나 부사 형태로 의역하는 것이 좋다. '쿠츄쿠츄'와 같은 일본어 발음 직역은 피해야 한다.",俺は母さんのマンコに指を入れて動かした。クチュクチュと音を立てながら愛液が染み出していく。,나는 엄마의 보지에 손가락을 넣고 움직였다. 쿠츄쿠츄 소리를 내며 애액이 배어 나왔다.,나는 어머니의 성기에 손가락을 넣어 움직였다. 질척질척 소리를 내며 애액이 배어 나왔다.
ゾクゾク,"오싹오싹, 전율이 일며, 소름이 돋으며",의성어,"공포로 인한 떨림보다는 쾌락이나 예상치 못한 자극으로 인해 몸에 전율이 흐르는 상황이다. 문맥상 '등줄기가 오싹해졌다' 혹은 '전율이 일었다'와 같이 신체적 반응을 묘사하는 소설적 표현으로 의역하는 것이 자연스럽다. 단순히 '두근두근'이나 '덜덜' 같은 단어로 치환하기보다, 감각의 전이를 나타내는 표현을 사용해야 한다.",母さんは顔を俺のチンチンに近付け、凝視した。鼻息がチンチンにかかり、背筋がゾクゾクする。すると、俺のチンチンを口に咥えて顔を前後に動かし、チンチンを舐めていった。もちろん、チンチンを舐められるなど初めてだ。まさかここまで積極的にするとは、普段の母さんからは考えられなかった。,콧김이 닿자 등줄기가 ゾクゾク(조쿠조쿠)했다.,콧김이 닿자 등줄기에 전율이 일었다.
チンチン,"자지, 성기, 물건",의성어,"문맥에 따라 '자지'라는 직접적인 표현을 쓰거나, 소설적 허용을 통해 '성기' 또는 '물건' 등으로 완곡하게 표현할 수 있다. 원문의 'チンチン'은 다소 유아틱하거나 가벼운 느낌을 줄 수 있으나, 성인 대상의 문학적 맥락에서는 상황의 수위에 맞춰 자연스러운 한국어 성적 용어로 의역하는 것이 중요하다. 기계적으로 '친친'이라고 음차하지 마라.",お互いの体を密着させ、再びキスをした。これでもかと言わんばかりに舌を絡め合う。母さんも嫌がる素振りはない。この時、俺のチンチンはバキバキに勃起していた。母さんもチンチンを触って確認する。,엄마도 내 친친을 만져서 확인한다.,엄마도 내 자지를 만져보며 확인했다.
